Lexeme: rakho,		Token: TK_INCLUDE,		Line number: 1
Lexeme: quantum,		Token: IDENTIFIER,		Line number: 1
LEXICAL ERROR: Invalid '$' found at Line number: 2
Lexeme: shuru,		Token: TK_START,		Line number: 3
Lexeme: int,		Token: TK_TYPE,		Line number: 4
Lexeme: n,		Token: IDENTIFIER,		Line number: 4
Lexeme: ,,		Token: TK_COMMA,		Line number: 4
Lexeme: i,		Token: IDENTIFIER,		Line number: 4
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 4
Lexeme: padho,		Token: TK_INPUT,		Line number: 5
Lexeme: n,		Token: IDENTIFIER,		Line number: 5
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 5
Lexeme: int,		Token: TK_TYPE,		Line number: 6
Lexeme: array,		Token: TK_TYPE,		Line number: 6
Lexeme: [,		Token: TK_SQBO  ,		Line number: 6
Lexeme: n,		Token: IDENTIFIER,		Line number: 6
Lexeme: ],		Token: TK_SQBC  ,		Line number: 6
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 6
Lexeme: jab_tak,		Token: TK_WHILE,		Line number: 7
Lexeme: (,		Token: TK_RND_BO,		Line number: 7
Lexeme: i,		Token: IDENTIFIER,		Line number: 7
Lexeme: <,		Token: TK_LE_T,		Line number: 7
Lexeme: n,		Token: IDENTIFIER,		Line number: 7
Lexeme: ),		Token: TK_RND_BC,		Line number: 7
Lexeme: tab_tak,		Token: TK_TILL,		Line number: 7
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 7
Lexeme: padho,		Token: TK_INPUT,		Line number: 8
Lexeme: array,		Token: TK_TYPE,		Line number: 8
Lexeme: [,		Token: TK_SQBO  ,		Line number: 8
Lexeme: i,		Token: IDENTIFIER,		Line number: 8
Lexeme: ],		Token: TK_SQBC  ,		Line number: 8
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 8
Lexeme: i,		Token: IDENTIFIER,		Line number: 9
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 9
Lexeme: i,		Token: IDENTIFIER,		Line number: 9
Lexeme: +,		Token: TK_PLUS,		Line number: 9
Lexeme: 1,		Token: TK_INTEGER,		Line number: 9
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 9
Lexeme: },		Token: TK_CURLY_BC,		Line number: 10
Lexeme: int,		Token: TK_TYPE,		Line number: 11
Lexeme: odd_num,		Token: IDENTIFIER,		Line number: 11
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 11
Lexeme: 0,		Token: TK_INTEGER,		Line number: 11
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 11
Lexeme: int,		Token: TK_TYPE,		Line number: 12
Lexeme: even_num,		Token: IDENTIFIER,		Line number: 12
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 12
Lexeme: 0,		Token: TK_INTEGER,		Line number: 12
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 12
Lexeme: i,		Token: IDENTIFIER,		Line number: 13
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 13
Lexeme: 0,		Token: TK_INTEGER,		Line number: 13
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 13
Lexeme: jab_tak,		Token: TK_WHILE,		Line number: 14
Lexeme: (,		Token: TK_RND_BO,		Line number: 14
Lexeme: i,		Token: IDENTIFIER,		Line number: 14
Lexeme: <,		Token: TK_LE_T,		Line number: 14
Lexeme: n,		Token: IDENTIFIER,		Line number: 14
Lexeme: ),		Token: TK_RND_BC,		Line number: 14
Lexeme: tab_tak,		Token: TK_TILL,		Line number: 14
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 14
Lexeme: agar,		Token: TK_COND_IF,		Line number: 15
Lexeme: (,		Token: TK_RND_BO,		Line number: 15
Lexeme: i,		Token: IDENTIFIER,		Line number: 15
Lexeme: %,		Token: TK_MOD,		Line number: 15
Lexeme: 2,		Token: TK_INTEGER,		Line number: 15
Lexeme: ==,		Token: TK_EQUALITY,		Line number: 15
Lexeme: 0,		Token: TK_INTEGER,		Line number: 15
Lexeme: ),		Token: TK_RND_BC,		Line number: 15
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 15
Lexeme: odd_num,		Token: IDENTIFIER,		Line number: 16
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 16
Lexeme: odd_num,		Token: IDENTIFIER,		Line number: 16
Lexeme: +,		Token: TK_PLUS,		Line number: 16
Lexeme: 1,		Token: TK_INTEGER,		Line number: 16
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 16
Lexeme: },		Token: TK_CURLY_BC,		Line number: 17
Lexeme: ya,		Token: TK_ELSE,		Line number: 17
Lexeme: {,		Token: TK_CURLY_BO,		Line number: 17
Lexeme: even_num,		Token: IDENTIFIER,		Line number: 18
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 18
Lexeme: even_num,		Token: IDENTIFIER,		Line number: 18
Lexeme: +,		Token: TK_PLUS,		Line number: 18
Lexeme: 1,		Token: TK_INTEGER,		Line number: 18
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 18
Lexeme: },		Token: TK_CURLY_BC,		Line number: 19
Lexeme: i,		Token: IDENTIFIER,		Line number: 20
Lexeme: =,		Token: TK_ASSIGNMENT,		Line number: 20
Lexeme: i,		Token: IDENTIFIER,		Line number: 20
Lexeme: +,		Token: TK_PLUS,		Line number: 20
Lexeme: 1,		Token: TK_INTEGER,		Line number: 20
Lexeme: ;,		Token: TK_SEMICOLON,		Line number: 20
Lexeme: },		Token: TK_CURLY_BC,		Line number: 21
Lexeme: dikhao,		Token: TK_PRINT,		Line number: 22
Lexeme: (,		Token: TK_RND_BO,		Line number: 22
Lexeme: odd_num,		Token: IDENTIFIER,		Line number: 22
Lexeme: ),		Token: TK_RND_BC,		Line number: 22
Lexeme: dikhao,		Token: TK_PRINT,		Line number: 23
Lexeme: (,		Token: TK_RND_BO,		Line number: 23
Lexeme: nl,		Token: IDENTIFIER,		Line number: 23
Lexeme: ),		Token: TK_RND_BC,		Line number: 23
Lexeme: dikhao,		Token: TK_PRINT,		Line number: 24
Lexeme: (,		Token: TK_RND_BO,		Line number: 24
Lexeme: even_num,		Token: IDENTIFIER,		Line number: 24
Lexeme: ),		Token: TK_RND_BC,		Line number: 24
Lexeme: khatam,		Token: TK_FINISH,		Line number: 25
